CustomerID,Age,Gender,PurchaseAmount,PurchaseFrequency,ProductQualityRating,DeliveryTimeRating,CustomerServiceRating,WebsiteEaseOfUseRating,ReturnRate,DiscountUsage,LoyaltyProgramMember
1,38,Female,749.0976255706341,24,2,1,3,5,0.12,135.39257325719885,No
2,30,Male,735.2249156163376,18,5,4,4,5,0.37,193.45066319022902,Yes
3,55,Male,1145.5203051182527,22,3,5,4,1,0.1,147.24626283427693,Yes
4,39,Female,925.460535143426,14,4,3,2,4,0.38,56.362894229805114,Yes
5,51,Male,108.35991620309096,9,3,3,2,5,0.42,338.73105537073496,No
6,51,Male,240.1873358921406,17,2,2,5,3,0.31,34.2653164563545,Yes
7,61,Male,553.2424738518187,24,4,2,5,1,0.01,393.15222022625494,Yes
8,28,Male,1216.0233491720421,11,1,1,4,2,0.21,419.1943659205301,Yes
9,34,Female,1964.1919003852256,9,5,4,3,4,0.24,278.2496752380593,No
10,29,Male,1333.3842511470002,27,5,4,5,1,0.41,52.735509973854235,No
11,47,Female,1500.1641369541767,3,3,2,4,3,0.46,387.68471754044674,Yes
12,58,Male,1456.069880423472,6,2,3,2,3,0.34,135.72154868579406,No
13,19,Male,85.00459696557948,17,2,5,5,3,0.12,101.5821940307915,No
14,41,Male,1370.1677637187088,6,3,3,5,5,0.33,490.8467773481094,No
15,41,Male,1115.3367939285915,6,3,2,1,2,0.05,346.39966389762935,Yes
16,40,Male,1530.6742081549398,29,2,3,5,3,0.35,396.06664143134134,No
17,57,Male,1379.1232731869572,25,5,3,5,5,0.34,375.81972439730146,No
18,51,Male,1110.225249558582,22,2,4,1,1,0.04,460.2327836838683,No
19,35,Male,1752.4126051752894,6,4,2,4,2,0.09,488.62686288601265,Yes
20,43,Female,544.4544264127305,15,4,1,5,1,0.44,494.64984202158263,No
21,59,Female,197.58367859031276,27,5,3,3,1,0.43,246.29862291063463,Yes
22,42,Female,1816.7936434739936,4,5,2,5,4,0.47,455.90487908189203,Yes
23,61,Male,1999.6559676315965,3,3,4,3,3,0.31,362.5380883896418,Yes
24,38,Female,1006.3647876690354,2,3,2,4,3,0.41,123.60537443251646,Yes
25,66,Male,1440.1946254229476,5,5,2,4,1,0.42,252.23366930599224,Yes
26,66,Female,1246.5443249924108,20,3,3,3,2,0.07,125.07273724744545,No
27,49,Male,1187.1497028956908,20,1,3,5,1,0.44,355.1456463841987,No
28,44,Male,1440.2735914262214,7,4,2,1,1,0.23,299.221802293813,No
29,35,Female,1243.786750503081,8,4,2,3,1,0.11,350.98307770997036,Yes
30,30,Male,1990.529385724516,13,1,1,2,2,0.13,280.39327450643896,No
31,56,Male,1760.1515876878502,22,1,4,4,2,0.09,294.890418528837,Yes
32,30,Female,672.5725589232351,2,3,1,4,1,0.11,244.0361085996966,Yes
33,24,Male,1394.5493851552776,23,3,5,2,1,0.26,347.62981249453674,Yes
34,57,Male,1764.7604128053854,3,4,4,3,4,0.1,293.9852177829266,No
35,36,Male,1049.73818029218,8,2,5,2,5,0.1,155.12929822382344,No
36,65,Male,969.7279805480954,11,1,5,2,1,0.02,301.7562923733794,Yes
37,55,Male,307.08385821862487,5,5,4,4,3,0.39,365.70172956871284,Yes
38,19,Male,428.24323743840455,5,2,5,5,2,0.11,251.85664002225096,No
39,61,Male,1726.2013274134122,28,1,5,2,1,0.16,361.60679004617924,No
40,38,Male,887.836999912845,1,2,2,5,5,0.42,75.19219005078153,Yes
41,45,Female,1953.219899106739,7,4,2,2,4,0.39,112.19410359115639,No
42,68,Female,1887.5958875718627,14,4,1,3,2,0.45,0.9443644541160534,No
43,38,Male,1281.9765164215494,26,1,3,2,5,0.39,233.7190630401465,Yes
44,20,Male,561.6257365350957,9,4,3,5,5,0.27,311.4599591076547,No
45,51,Male,604.2043238593398,15,4,4,5,4,0.03,77.57983589663614,Yes
46,20,Female,1778.8579359761593,25,4,3,3,1,0.33,251.91530795784777,No
47,18,Male,99.41608509053576,5,1,1,2,5,0.29,342.7421491552961,No
48,43,Female,1317.006447510268,9,3,1,1,3,0.06,166.7188276643783,No
49,37,Male,1505.0690196235414,17,1,2,4,1,0.33,236.11395605155434,Yes
50,21,Male,660.2765431875323,12,1,2,5,1,0.36,273.7097392274712,Yes
51,56,Male,1957.2556814508293,29,1,3,1,2,0.45,199.6844402861162,No
52,59,Female,411.68026062318006,17,3,5,1,4,0.45,60.57435949061774,No
53,22,Male,89.85232345685708,24,4,5,5,1,0.18,149.0421473000288,No
54,39,Male,1122.6752360401913,2,2,4,2,5,0.06,354.9545707535571,Yes
55,60,Female,1680.559412817804,15,2,4,2,1,0.33,351.3856274697868,Yes
56,24,Male,125.55986248676211,15,2,4,5,4,0.08,256.1831172951125,Yes
57,56,Male,697.2398604971536,6,5,2,3,2,0.14,79.4696503090206,No
58,62,Female,186.00078862141962,6,5,4,5,5,0.45,496.36752905438476,Yes
59,48,Male,277.12975260148056,19,2,3,3,1,0.1,52.91666775545417,No
60,22,Female,1238.9515941736288,24,5,2,3,1,0.21,134.15920088739307,Yes
61,31,Male,1786.1137203499604,22,2,1,1,1,0.46,91.25475223742147,No
62,24,Male,117.9419941589702,6,2,1,5,4,0.1,215.00046604612572,No
63,41,Female,1542.31065129106,22,3,2,3,4,0.47,428.92441133726123,Yes
64,38,Male,958.9290746589181,1,4,2,2,1,0.28,488.2845725509609,No
65,38,Female,762.7667262199319,12,3,3,5,2,0.07,402.37985603907424,Yes
66,45,Male,1166.261342329791,10,3,3,5,5,0.3,166.92050183843617,Yes
67,28,Female,576.4686371991327,8,5,2,5,2,0.16,167.50872704392327,Yes
68,55,Female,130.6013348659968,7,1,5,2,5,0.18,97.380062192568,No
69,30,Female,1072.7812696339242,5,2,5,4,1,0.27,416.9144663150384,Yes
70,63,Male,471.30178102249675,6,2,5,2,5,0.43,358.53082641647404,Yes
71,61,Male,1275.094701188623,8,2,3,3,2,0.45,257.58429085860735,No
72,69,Female,1526.943699426622,7,4,5,2,5,0.14,175.1844915814348,No
73,34,Male,1054.8025134562397,9,5,3,3,1,0.34,424.4867940558089,Yes
74,47,Female,942.4307237475163,27,5,4,4,3,0.13,108.140150992657,No
75,48,Male,1106.5680147238807,14,2,5,4,2,0.09,291.37174606507773,No
76,32,Male,203.24618233409686,5,5,1,3,5,0.24,256.5640532675589,No
77,69,Female,1765.5754349826748,25,4,3,1,5,0.1,379.07810662216343,Yes
78,56,Female,246.2185175493723,15,4,1,4,2,0.39,330.7760987223164,Yes
79,59,Female,853.1979279300311,6,4,2,3,2,0.01,447.99687208017167,Yes
80,40,Male,202.45808758869492,19,1,1,2,2,0.23,320.0138280031277,No
81,47,Female,1628.5925526563285,22,5,2,4,5,0.34,347.90872191920164,No
82,22,Male,732.642917794248,3,1,2,4,4,0.49,292.446225086111,Yes
83,27,Female,1507.2406378821338,13,2,5,5,4,0.42,316.40229108066023,No
84,43,Male,898.4777860512686,12,5,2,4,4,0.04,291.83885510264605,No
85,24,Female,1725.3589497441108,6,3,3,5,3,0.21,311.53193240635744,Yes
86,49,Female,396.4787152258077,6,2,1,4,2,0.37,13.536283927612802,No
87,59,Male,557.4391520225502,4,2,1,4,2,0.04,106.85545174313954,No
88,20,Female,563.3254096073947,25,2,4,4,1,0.03,238.40512213542343,Yes
89,54,Male,1419.8579928931206,24,5,4,1,3,0.26,235.0758726654415,No
90,49,Male,1723.5447195411803,21,3,5,1,4,0.11,214.3085912022994,Yes
91,40,Female,1198.5126290076996,1,5,5,3,5,0.47,93.85725079675339,No
92,64,Female,406.914509685227,26,3,5,4,1,0.42,199.50591602469402,No
93,50,Female,79.1827392756246,21,5,3,3,5,0.24,37.594048830764834,No
94,27,Male,828.9649278103844,10,1,1,1,5,0.41,60.64473523646474,Yes
95,29,Female,809.3406732672584,28,4,5,4,1,0.05,88.0445193404532,Yes
96,26,Female,1865.2718625518494,17,5,4,3,1,0.12,213.9601765097347,No
97,65,Female,1532.095698682784,27,3,2,4,3,0.16,333.21016201279303,No
98,62,Female,170.33134414417307,13,2,2,4,4,0.11,228.56120139148038,No
99,56,Female,1918.5834427665911,10,1,4,3,2,0.13,239.62873452931964,No
100,45,Female,742.5296617307474,24,5,2,5,2,0.09,75.1918905016144,No
101,32,Female,1161.6522507725003,23,2,1,3,1,0.29,388.974923150078,No
102,66,Male,1272.91229266586,1,5,1,4,5,0.1,175.96020817252418,Yes
103,68,Male,1159.597811196858,22,3,5,3,3,0.42,212.31751298650437,Yes
104,32,Female,1419.7567604044775,21,1,1,1,3,0.48,242.2228244417961,Yes
105,56,Male,466.0797917707123,10,2,2,1,5,0.08,447.2848377434018,No
106,28,Female,1370.1536350048073,29,5,5,5,1,0.13,486.4557387084859,Yes
107,46,Female,717.6759180167107,7,5,2,1,4,0.08,404.03250161029814,No
108,36,Female,1856.0023026317879,21,1,1,3,5,0.07,178.33763992213886,No
109,51,Male,1020.0150904452903,3,1,1,3,4,0.03,380.01276838488184,No
110,20,Female,1631.8631636041744,11,3,3,1,5,0.32,77.2030301742882,Yes
111,61,Male,547.1128411003667,12,3,4,3,5,0.41,188.46384344720036,No
112,35,Male,1690.0946574740085,27,1,3,3,3,0.19,90.696632693945,Yes
113,47,Male,756.5521238772915,13,5,3,1,4,0.28,207.34798864208105,Yes
114,37,Male,460.65339878368195,2,4,3,2,4,0.25,271.857148065746,Yes
115,42,Female,1972.2999962575072,5,2,2,4,5,0.16,52.8094955598325,No
116,56,Male,1990.453985627948,19,4,2,5,4,0.32,195.9809239614907,No
117,47,Male,1355.499011566168,15,3,1,1,5,0.38,494.09653736283093,Yes
118,45,Female,625.3235442430433,12,5,1,1,2,0.0,219.93083550453397,No
119,28,Female,534.3304939979836,16,2,2,5,3,0.27,168.44347683417325,Yes
120,29,Male,1553.5723206454309,27,3,3,3,5,0.29,149.61394689039992,No
121,68,Male,1434.481077765168,19,5,1,4,5,0.04,387.6525271407028,Yes
122,60,Male,93.83039527084813,29,5,5,2,3,0.42,110.0942788010097,Yes
123,54,Male,1801.1069292695447,26,4,5,3,4,0.42,256.6199640355694,No
124,43,Female,1837.6303675175568,18,1,1,4,2,0.26,465.7129546682724,Yes
125,35,Female,1493.0091719742202,4,1,3,5,4,0.11,460.0978397012258,Yes
126,21,Male,390.8372717474818,8,3,2,3,5,0.08,355.00587972300815,Yes
127,39,Male,483.6958204134479,4,2,3,3,1,0.38,117.97324010503085,Yes
128,40,Male,1263.4535255570584,23,1,5,1,2,0.11,8.957770100129991,Yes
129,19,Male,965.370813482047,6,4,3,2,4,0.02,234.386625859344,Yes
130,55,Male,1569.83014702626,23,4,2,4,2,0.29,103.31685670838853,No
131,41,Female,1188.3602702789783,5,2,3,1,3,0.3,345.4295286184796,Yes
132,45,Female,462.6185315736544,6,5,3,1,4,0.3,260.10324086335476,No
133,67,Male,1913.3679548099703,25,2,1,4,5,0.05,13.856035583001802,Yes
134,34,Female,1608.0753453496288,6,1,4,3,2,0.14,32.22857802443818,No
135,27,Male,1169.253622268515,5,4,5,1,4,0.01,436.255446004847,Yes
136,21,Male,686.1691816779885,4,5,2,4,4,0.27,167.9147115705168,No
137,44,Female,1026.7296286612045,11,3,5,2,3,0.22,87.14377424235981,Yes
138,21,Male,1838.453108833313,2,5,3,3,2,0.29,12.45168501097016,Yes
139,34,Female,1645.4466455871552,26,3,2,1,3,0.16,452.6264111128716,No
140,38,Male,269.15534225076715,7,5,3,1,4,0.24,84.76595168054557,Yes
141,34,Female,1701.470521220391,17,2,4,4,5,0.23,486.0038018490664,No
142,27,Female,1291.0687890470083,19,5,3,3,5,0.34,140.38316841839966,Yes
143,38,Male,377.8243199570906,20,4,4,4,1,0.16,156.72057925698903,No
144,61,Female,622.5232190749233,22,2,1,2,1,0.27,346.1257756199092,Yes
145,39,Male,1899.0165913072722,15,5,1,5,1,0.4,183.2354138363994,Yes
146,45,Male,394.0993125219405,18,3,2,3,5,0.21,440.2269773530322,Yes
147,25,Female,741.8236717259356,18,1,3,2,2,0.45,63.979521264122205,No
148,40,Female,1665.1999441032763,15,1,5,4,2,0.15,251.81671204048706,Yes
149,40,Male,1572.3532668355178,8,2,5,4,4,0.25,30.159603154895464,Yes
150,36,Male,385.73734598257323,15,4,4,3,2,0.07,243.587493825001,Yes
151,29,Female,193.25778424346808,17,1,5,4,4,0.02,432.62938128294206,Yes
152,63,Male,1051.8193817983379,2,5,1,5,4,0.4,201.5962967140617,No
153,60,Female,1045.2087742731865,1,3,4,1,1,0.34,28.797816538078223,Yes
154,47,Female,1814.794443666779,29,3,5,1,3,0.15,202.40873352566973,No
155,55,Female,1820.5765597641057,22,1,2,5,5,0.38,135.94650669441373,Yes
156,38,Female,1546.195027242648,27,4,1,4,5,0.19,311.95693472595684,Yes
157,66,Female,1692.8789194862422,5,4,4,2,2,0.07,266.6563064209364,No
158,18,Male,1466.3252629776327,18,4,3,5,2,0.14,436.85275025727196,Yes
159,69,Male,125.0762869319807,27,3,2,5,2,0.34,278.42903606938654,No
160,29,Female,1872.4757782574604,28,4,5,1,3,0.32,55.248337361878505,No
161,38,Female,1100.1251935025427,23,5,4,1,1,0.02,317.2971861517138,Yes
162,39,Male,488.06742349170844,6,4,3,5,3,0.08,5.039733710485383,Yes
163,35,Male,1945.180540106232,21,1,2,2,5,0.16,436.9378447794102,No
164,65,Female,294.6190661319117,17,4,5,2,2,0.16,481.01068183739324,No
165,69,Male,1528.4913572503715,6,1,5,3,2,0.12,157.04954953729526,No
166,51,Male,727.5223220646421,11,1,5,2,2,0.15,60.94600827006991,No
167,67,Female,197.351075964989,10,1,3,4,3,0.28,99.93878145396894,No
168,56,Female,687.1276723134198,6,2,2,3,5,0.29,284.6102334818057,Yes
169,20,Male,688.7794007581545,23,2,4,5,4,0.48,305.4576024965527,No
170,36,Male,375.74123329554374,2,5,1,5,3,0.25,98.65669671021033,No
171,67,Female,250.10882379723708,5,5,1,2,3,0.1,196.91960637092015,No
172,51,Female,1279.7355092041541,2,5,3,3,4,0.36,165.9948244122763,No
173,29,Female,1510.3475980026142,22,3,2,5,1,0.27,266.4379846948864,Yes
174,64,Female,500.73439323231366,14,5,5,4,1,0.21,122.9577967173191,No
175,45,Female,460.61629616389666,22,4,4,2,5,0.41,462.6716445764827,Yes
176,21,Female,535.3343778249703,23,1,2,2,2,0.32,302.2500377598175,Yes
177,65,Female,780.0623669898781,17,3,1,2,4,0.38,202.64201604708109,No
178,42,Female,460.17171700545,19,1,4,2,2,0.21,250.86232031592272,Yes
179,51,Male,1574.4523474609284,15,1,2,3,1,0.15,19.883196954328387,Yes
180,23,Male,517.4112810189606,5,1,4,4,3,0.4,391.25790776773675,Yes
181,49,Female,1991.9846562840055,19,3,1,2,2,0.46,156.93199021755305,No
182,67,Female,1394.1737070595714,15,3,5,5,3,0.49,262.39147546298454,Yes
183,64,Female,1659.2228684561162,25,1,2,4,1,0.09,450.51727106084695,Yes
184,60,Female,839.3121586418667,29,2,1,2,3,0.08,175.2804757297703,Yes
185,27,Female,1948.1519180179828,22,4,5,2,4,0.5,309.4466981509606,Yes
186,63,Male,603.5058836548428,23,3,1,2,2,0.41,332.8404861044331,No
187,38,Male,1522.9014103699046,1,5,3,4,4,0.11,295.92469487720564,Yes
188,46,Female,521.3814636442064,10,3,2,5,5,0.38,68.07692936264354,No
189,21,Female,539.0033177003999,22,4,1,4,3,0.15,310.5700479160532,No
190,58,Female,607.5358986451715,26,2,2,2,3,0.04,38.78473447286762,No
191,53,Male,1336.1320744511038,14,3,1,5,3,0.48,50.353966838014074,Yes
192,50,Female,655.6658554172453,3,5,2,5,3,0.45,357.8194076239245,Yes
193,32,Male,610.3903208695343,19,4,2,3,3,0.32,489.8043188302336,No
194,59,Male,342.06130869874346,10,4,4,4,1,0.18,288.36358607307756,Yes
195,31,Female,1615.6965914894822,1,5,3,4,2,0.47,66.8621095991661,No
196,32,Female,892.6376769101421,26,3,4,2,3,0.35,466.86825914856394,Yes
197,32,Female,1744.0712185237562,19,3,5,5,5,0.32,47.154145817666915,No
198,60,Female,1394.8594865965433,4,5,5,2,1,0.38,102.88075758244963,Yes
199,60,Female,1986.9257529721556,11,1,2,2,1,0.16,230.39605279607628,Yes
200,37,Male,1802.0032108973203,3,2,3,4,3,0.19,490.191752001433,Yes
201,65,Female,788.1098110147593,26,5,1,5,2,0.39,105.17653069454047,Yes
202,65,Female,991.4629237220478,27,3,2,1,1,0.09,226.17529594377066,No
203,33,Male,1636.9409001821114,7,1,1,4,4,0.31,388.38975757668754,No
204,58,Female,1833.3653287173588,11,1,4,3,1,0.44,51.73819044420297,Yes
205,64,Male,988.4567040475739,18,2,2,1,4,0.39,204.57675062688153,Yes
206,37,Male,762.2432367894613,23,3,3,4,2,0.36,226.79501181154217,Yes
207,60,Female,1357.2005922228388,3,2,2,3,5,0.43,235.92875311545907,No
208,33,Female,1979.174007148096,16,3,2,3,2,0.44,161.55507941774115,Yes
209,27,Female,260.54930048278675,21,4,2,4,1,0.21,450.86961012833666,Yes
210,25,Female,1939.709358852705,3,3,3,5,1,0.5,10.655515749667888,Yes
211,27,Female,1590.4667343292047,14,3,4,2,4,0.08,329.9942889608887,No
212,40,Male,323.35936778175346,6,4,1,1,3,0.34,245.59433856241176,No
213,31,Female,228.27841187482295,21,4,1,3,2,0.14,84.84725882291677,Yes
214,32,Male,1465.7357490146205,9,3,5,1,1,0.36,253.02459198606903,No
215,51,Male,968.6565956485819,25,3,1,5,4,0.14,458.61901534925863,No
216,30,Male,756.0788509813016,12,4,2,5,5,0.33,397.6199967170814,No
217,38,Female,390.8432948341693,15,4,3,3,4,0.23,477.5154034464273,Yes
218,50,Female,1760.9218978570202,9,2,5,5,5,0.49,215.98116272235018,No
219,48,Female,1123.6061836115034,7,4,3,3,3,0.03,274.08635745076504,No
220,52,Female,1114.4162390399385,9,1,4,1,4,0.01,448.41503381478446,Yes
221,68,Male,1739.2163561031261,12,1,5,5,2,0.32,189.38431542449018,Yes
222,45,Female,1706.8249957602968,16,3,4,1,4,0.3,425.9356199101108,Yes
223,68,Male,120.51128367415609,20,3,1,2,5,0.43,14.55804455718529,Yes
224,39,Male,1750.3613834319233,2,4,3,4,4,0.43,229.55533931443017,No
225,67,Male,1411.7691896089414,29,2,3,5,2,0.32,323.7417243940881,Yes
226,26,Female,1365.5077688731717,8,2,1,1,2,0.23,319.0289422078933,No
227,58,Male,763.3578109798846,26,1,3,5,5,0.11,252.16321781396945,No
228,50,Female,51.7997904130357,17,1,5,5,4,0.36,254.88330824597327,Yes
229,22,Male,1893.3784987542315,5,1,3,1,5,0.35,384.10196408709106,No
230,58,Male,1534.0418929447358,9,1,2,4,3,0.28,148.41588422267404,No
231,67,Male,996.4060341892939,14,5,1,2,5,0.2,67.5554859022111,Yes
232,41,Male,1586.4814194167948,3,4,3,2,5,0.26,478.4807007083579,Yes
233,65,Male,1426.1717040930848,24,2,5,2,1,0.09,499.8133151416392,No
234,66,Female,1391.7677269228154,2,1,3,3,2,0.19,11.666783477530307,No
235,47,Male,681.789481841578,1,1,3,2,5,0.01,277.21640995442726,Yes
236,24,Male,285.99584250830685,12,5,3,4,1,0.1,46.00447060417978,Yes
237,25,Male,1241.4258231638912,17,4,4,2,4,0.06,163.07122330606293,Yes
238,33,Male,902.0790759711385,19,4,5,5,1,0.09,253.30423432317266,Yes
239,69,Female,234.67721866875476,25,5,5,2,3,0.42,93.75789490566466,Yes
240,23,Female,810.2370788708077,20,1,3,5,2,0.28,79.48650333756402,Yes
241,56,Male,1644.8155520277037,21,2,2,4,1,0.29,154.50739707565043,Yes
242,25,Female,1106.2400833205209,12,4,4,1,4,0.44,101.78549025279737,No
243,19,Female,1230.7455771067912,22,3,4,1,2,0.45,472.3051669072669,Yes
244,35,Female,1451.4617131626183,22,2,5,4,5,0.43,321.6121729509938,Yes
245,37,Male,1565.759751374642,27,2,2,1,5,0.21,218.3191796715266,No
246,40,Male,1090.9725610001221,17,3,2,3,1,0.4,10.239146400941534,No
247,51,Male,1269.533234992344,17,4,2,3,1,0.34,226.02070293468972,Yes
248,22,Female,1196.5366395259603,17,1,4,3,4,0.02,260.63097180427087,No
249,61,Male,322.78210165620067,1,1,3,1,4,0.39,242.160542867888,Yes
